player_id,Name,Sex,Team,NOC,Year,Season,City,Sport,Event,Medal
1925727,Giulia D'innocenzo,F,Italy,ITA,2024,Summer,Paris,Swimming,Relay Only Athlete,No medal
1925728,Sara Curtis,F,Italy,ITA,2024,Summer,Paris,Swimming,Women's 4 x 100m Freestyle Relay,No medal
1925728,Sara Curtis,F,Italy,ITA,2024,Summer,Paris,Swimming,Women's 50m Freestyle,No medal
1925733,Sona Artamonova,F,Czechia,CZE,2024,Summer,Paris,Artistic Gymnastics,Women,No medal
1925733,Sona Artamonova,F,Czechia,CZE,2024,Summer,Paris,Artistic Gymnastics,Women's All-Around,No medal
1925733,Sona Artamonova,F,Czechia,CZE,2024,Summer,Paris,Artistic Gymnastics,Women's Balance Beam,No medal
1925733,Sona Artamonova,F,Czechia,CZE,2024,Summer,Paris,Artistic Gymnastics,Women's Floor Exercise,No medal
1925733,Sona Artamonova,F,Czechia,CZE,2024,Summer,Paris,Artistic Gymnastics,Women's Uneven Bars,No medal
1925733,Sona Artamonova,F,Czechia,CZE,2024,Summer,Paris,Artistic Gymnastics,Women's Vault,No medal
1925749,David Klammert,M,Czechia,CZE,2024,Summer,Paris,Judo,Men -90 kg,No medal
1925750,Lukas Krpalek,M,Czechia,CZE,2024,Summer,Paris,Judo,Men +100 kg,No medal
1925751,Renata Zachova,F,Czechia,CZE,2024,Summer,Paris,Judo,Women -63 kg,No medal
1925762,Marek Grycz,M,Czechia,CZE,2024,Summer,Paris,Modern Pentathlon,Men's Individual,No medal
1925763,Lucie Hlavackova,F,Czechia,CZE,2024,Summer,Paris,Modern Pentathlon,Women's Individual,No medal
1925766,Veronika Novotna,F,Czechia,CZE,2024,Summer,Paris,Modern Pentathlon,Women's Individual,No medal
1925768,Martin Vlach,M,Czechia,CZE,2024,Summer,Paris,Modern Pentathlon,Men's Individual,No medal
1925785,Francesca Fangio,F,Italy,ITA,2024,Summer,Paris,Swimming,Women's 200m Breaststroke,No medal
1925790,Virginia Menicucci,F,Italy,ITA,2024,Summer,Paris,Swimming,Women's 4 x 100m Freestyle Relay,No medal
1925790,Virginia Menicucci,F,Italy,ITA,2024,Summer,Paris,Swimming,Relay Only Athlete,No medal
1925791,Sofia Morini,F,Italy,ITA,2024,Summer,Paris,Swimming,Women's 4 x 100m Freestyle Relay,No medal
1925791,Sofia Morini,F,Italy,ITA,2024,Summer,Paris,Swimming,Women's 4 x 100m Medley Relay,No medal
1925791,Sofia Morini,F,Italy,ITA,2024,Summer,Paris,Swimming,Women's 4 x 200m Freestyle Relay,No medal
1925791,Sofia Morini,F,Italy,ITA,2024,Summer,Paris,Swimming,Relay Only Athlete,No medal
1925791,Sofia Morini,F,Italy,ITA,2024,Summer,Paris,Swimming,Mixed 4 x 100m Medley Relay,No medal
1925793,Margherita Panziera,F,Italy,ITA,2024,Summer,Paris,Swimming,Women's 200m Backstroke,No medal
1925793,Margherita Panziera,F,Italy,ITA,2024,Summer,Paris,Swimming,Women's 4 x 100m Medley Relay,No medal
1925795,Giulia Ramatelli,F,Italy,ITA,2024,Summer,Paris,Swimming,Women's 4 x 200m Freestyle Relay,No medal
1925795,Giulia Ramatelli,F,Italy,ITA,2024,Summer,Paris,Swimming,Relay Only Athlete,No medal
