team,country,total_medals
"MEGGENDORFER Jakob / SPRANGER Andreas",Germany,0
"BERGMANN Marla / WILLE Hanna",Germany,0
"DIESCH Simon / MARKFORT Anna",Germany,0
"KOHLHOFF Paul / STUHLEMMER Alica",Germany,0
"Monfils / Roger-Vasselin",France,0
"Fils / Humbert",France,0
"Garcia / Parry",France,0
"Burel / Gracheva",France,0
"Garcia / Roger-Vasselin",France,0
Partain/Benesh,"United States",0
Evans/Budinger,"United States",0
Nuss/Kloth,"United States",0
Hughes/Cheng,"United States",0
"Boermans/de Groot",Netherlands,0
"van de Velde/Immers",Netherlands,0
Stam/Schoon,Netherlands,0
"CHIU Vinson / YUAN Joshua","United States",0
"XU Annie / XU Kerry","United States",0
"CHIU Vinson / GAI Jennie","United States",0
"SOFFIATTI GRAEL Marco / SIMOES Gabriel",Brazil,0
"SOFFIATTI GRAEL Martine / KUNZE Kahena",Brazil,0
"DUARTE HADDAD Henrique / SWAN Isabel",Brazil,0
"SIEMSEN Joao / ARNDT Marina",Brazil,0
Paraguay,Paraguay,0
"Borges / Cabral",Portugal,0
"QIU Dang / MITTELHAM Nina",Germany,0
Bryl/Losiak,Poland,0
"LOVEMORE Hamish / BIRKETT Andrew James","South Africa",0
"KOCH Tiffany Amber / OLIVIER Esti","South Africa",0
"Kostyuk / Yastremska",Ukraine,0
"Kichenok / Kichenok",Ukraine,0
"LAMSFUSS Mark / SEIDEL Marvin",Germany,0
"Marwa/D. Elghobashy",Egypt,0
"KOROVASHKOV Alexey / SHTYL Ivan","Russian Federation",0
Perusic/Schweiner,Czechia,0
Hermannova/Stochlova,Czechia,0
Tunisia,Tunisia,0
Tina/Anastasija,Latvia,0
Malaysia,Malaysia,0
"SPRINCEAN Ilie / NUTA Oleg",Romania,0
Indonesia,Indonesia,0
"Fucsovics / Marozsan",Hungary,0
Montenegro,Montenegro,0
"DZOMBETA Andjelo / TORUBAROV Vladimir",Serbia,0
"NOVAKOVIC Marko / DRAGOSAVLJEVIC Marko",Serbia,0
Paulikiene/Raupelyte,Lithuania,0
"YEMELYANOV Sergey / KHAIDAROV Timur",Kazakhstan,0
